source,setup,lat,lon,error_km,pred_country,ok,fallback_00,finish,cost_usd,prompt_tokens,completion_tokens,reasoning_tokens,latency_s,raw_text
GROUND_TRUTH,,65.622719211552,-16.884384249965,0.0,IS,True,,,,,,,,"Laugar, None, Northeast, IS"
nicolas-dufour/PLONK_YFCC,PLONK cfg=1.5,65.46747589111328,-16.83004379272461,17.443,,True,,plonk,0.0,0,0,0,0.0,
anthropic/claude-opus-4.8,CoT,65.05,-16.5,66.134,IS,True,,stop,0.00641,797,97,0,9.63,"{""reasoning"": ""Volcanic lava fields with sparse low vegetation, yellow-topped marker posts, and Icelandic-style yellow warning signs under overcast skies indicate Iceland."", ""country"": ""IS"", ""latitude"": 65.05, ""longitude"": -16.5}"
qwen/qwen3.5-35b-a3b,no-CoT,64.9631,-19.0208,123.436,IS,True,,stop,0.000157,473,31,0,2.5,"{""country"": ""IS"", ""latitude"": 64.9631, ""longitude"": -19.0208}"
google/gemma-4-31b-it,no-CoT,64.8375,-19.0208,132.388,IS,True,,stop,5.772e-05,408,36,0,14.63,"```json
{""country"": ""IS"", ""latitude"": 64.8375, ""longitude"": -19.0208}
```"
qwen/qwen3.6-35b-a3b,no-CoT,64.1466,-20.1103,223.824,IS,True,,stop,0.00010195,473,31,0,1.84,"{""country"": ""IS"", ""latitude"": 64.1466, ""longitude"": -20.1103}"
google/gemini-3.5-flash,CoT (effort=medium),63.6835,-18.1524,223.909,IS,True,,stop,0.0063705,1271,496,432,26.35,"{""reasoning"": ""The yellow warning signs with red borders, yellow roadside posts, double white center lines, and barren volcanic lava field landscape are highly characteristic of Iceland."", ""country"": ""IS"", ""latitude"": 63.6835, ""longitude"": -18.1524}"
minimax/minimax-m3,no-CoT,63.9,-19.5,228.154,IS,True,,stop,0.00028962,767,98,94,3.76,"{""country"": ""IS"", ""latitude"": 63.9, ""longitude"": -19.5}"
qwen/qwen3.5-9b,no-CoT,64.0672,-20.3056,236.719,IS,True,,stop,5.205e-05,474,31,0,11.84,"{""country"": ""IS"", ""latitude"": 64.0672, ""longitude"": -20.3056}"
nicolas-dufour/PLONK_OSV_5M,PLONK cfg=0.0,64.45294189453125,-21.117259979248047,237.359,,True,,plonk,0.0,0,0,0,0.0,
qwen/qwen3.5-122b-a10b,no-CoT,64.0784,-20.4397,240.172,IS,True,,stop,0.00018746,473,31,0,2.63,"{""country"": ""IS"", ""latitude"": 64.0784, ""longitude"": -20.4397}"
nicolas-dufour/PLONK_OSV_5M,PLONK cfg=2.0,64.4118423461914,-21.136220932006836,240.755,,True,,plonk,0.0,0,0,0,0.0,
nicolas-dufour/PLONK_YFCC,PLONK cfg=2.0,64.25894927978516,-20.857322692871094,240.773,,True,,plonk,0.0,0,0,0,0.0,
x-ai/grok-4.3,CoT,64.023,-20.456,245.259,IS,True,,stop,0.002789,676,912,841,8.03,"{""reasoning"": ""Barren volcanic rock/moss landscape + yellow-backed triangular warning sign (Icelandic style) + right-side driving with European markings identify Iceland; photo matches typical lava-field roads on Route 1 or F-roads."", ""country"": ""IS"", ""latitude"": 64.023, ""longitude"": -20.456}"
nicolas-dufour/PLONK_OSV_5M,PLONK cfg=1.5,64.4229507446289,-21.425607681274414,251.431,,True,,plonk,0.0,0,0,0,0.0,
qwen/qwen3.5-397b-a17b,no-CoT,64.1234,-21.5678,276.823,IS,True,,stop,0.00036468,473,31,0,4.01,"{""country"": ""IS"", ""latitude"": 64.1234, ""longitude"": -21.5678}"
google/gemini-3.5-flash,no-CoT (effort=minimal),64.1419,-21.7483,282.399,IS,True,,stop,0.0021,1190,35,0,1.12,"```json
{""country"": ""IS"", ""latitude"": 64.1419, ""longitude"": -21.7483}
```"
nicolas-dufour/PLONK_YFCC,PLONK cfg=0.0,64.07270812988281,-21.711143493652344,285.781,,True,,plonk,0.0,0,0,0,0.0,
qwen/qwen3.5-27b,no-CoT,64.1466,-21.9426,289.577,IS,True,,stop,0.0001805,474,31,0,9.28,"{""country"": ""IS"", ""latitude"": 64.1466, ""longitude"": -21.9426}"
qwen/qwen3.6-27b,no-CoT,64.1466,-21.9426,289.577,IS,True,,stop,0.0001943,473,31,0,9.4,"{""country"": ""IS"", ""latitude"": 64.1466, ""longitude"": -21.9426}"
anthropic/claude-opus-4.8,no-CoT,64.0,-21.9,298.017,IS,True,,stop,0.00408,666,30,0,1.9,"{""country"": ""IS"", ""latitude"": 64.0, ""longitude"": -21.9}"
google/gemini-3.1-pro-preview,no-CoT,63.9,-22.0,308.91,IS,True,,stop,0.004108,1190,144,115,10.15,"```json
{""country"": ""IS"", ""latitude"": 63.9, ""longitude"": -22.0}
```"
moonshotai/kimi-k2.6,no-CoT,64.015,-22.245,310.131,IS,True,,stop,0.00051219,602,23,0,2.46,"{""country"": ""IS"", ""latitude"": 64.015, ""longitude"": -22.245}"
google/gemini-3.5-flash,CoT (effort=high),63.8412,-22.1985,320.546,IS,True,,stop,0.0094395,1271,837,772,6.67,"{""reasoning"": ""The yellow road markers, yellow-background warning signs, and distinctive volcanic lava field landscape are highly characteristic of Iceland, specifically the Reykjanes Peninsula."", ""country"": ""IS"", ""latitude"": 63.8412, ""longitude"": -22.1985}"
x-ai/grok-4.3,no-CoT,64.036,-22.605,322.809,IS,True,,stop,0.0005934,592,22,0,0.75,"{""country"": ""IS"", ""latitude"": 64.036, ""longitude"": -22.605}"
